"","count","created_year","employee_count"
"1",4,1854,125
"2",3,1988,30
"3",3,2014,12
"4",3,2007,6
"5",2,1981,865
"6",1,2005,7
"7",3,1994,750
"8",1,1969,45
"9",3,1888,36000
"10",1,1960,56
"11",1,1946,13000
"12",2,1982,3500
"13",3,1972,29
"14",5,1978,3039
"15",2,1978,5000
"16",3,1984,1750
"17",3,1946,125
"18",3,1996,24
"19",2,2010,NA
"20",4,1991,12
"21",4,2004,300
"22",2,1974,17
"23",4,1956,20
"24",2,2010,8
"25",2,1996,8
"26",2,1983,20
"27",10,1988,3000
"28",2,1923,240000
"29",2,1993,3000
"30",6,1970,836
"31",2,1904,11
"32",3,1986,93
"33",4,2003,16
"34",6,1947,125
"35",2,1982,128
"36",2,1969,NA
"37",4,1980,30
"38",2,1968,19
"39",1,1982,350
"40",2,1978,125
"41",1,1976,18000
"42",8,1976,30
"43",1,2002,184
"44",1,1905,1250
"45",3,1990,34
"46",1,2012,30
"47",5,1992,6
"48",3,1993,125
"49",5,1984,9
"50",6,1970,350
"51",5,1917,52000
"52",4,1984,30
"53",2,2003,9
"54",2,2023,NA
"55",3,1985,40
"56",1,1879,125
"57",1,1965,73
"58",2,1930,250
"59",7,1993,125
"60",1,2004,6
"61",2,2019,13
"62",1,1990,4
"63",5,1962,19
"64",1,1967,750
"65",1,1988,350
"66",4,1991,30
"67",6,1995,125
"68",2,1981,23
"69",3,1997,6
"70",1,1995,40
"71",4,1962,350
"72",1,2019,6
"73",4,2007,30
"74",1,1967,41
"75",1,2007,27
"76",1,1965,6000
"77",3,1998,4
"78",2,1997,10
"79",2,1960,3000
"80",2,1908,3000
"81",5,1994,7
"82",3,1993,NA
"83",3,2002,7
"84",4,1957,5000
"85",5,1952,38
"86",2,1958,NA
"87",1,2011,80
"88",2,1929,58
"89",3,2009,20
"90",2,1998,39
"91",9,1959,91
"92",1,2022,3
"93",2,2021,7
"94",1,1983,750
"95",5,1999,106000
"96",2,1951,68
"97",4,2009,5
"98",4,1983,125
"99",5,1953,125
"100",5,2002,NA
"101",3,2007,34
"102",6,1965,42
"103",5,1965,3000
"104",1,2011,24
"105",5,2009,7
"106",5,1990,750
"107",5,2008,125
"108",1,1988,46
"109",2,1993,33
"110",6,1983,240
"111",3,2012,17
"112",3,1943,750
"113",5,1996,28
"114",3,1972,125
"115",9,1924,402
"116",5,1970,650
"117",4,1973,10
"118",5,1960,1481
"119",6,1997,27
"120",5,1997,120
"121",3,1935,2500
"122",2,1945,30
"123",6,1954,350
"124",5,1950,50
"125",5,1951,30
"126",7,1972,125
"127",2,2019,125
"128",1,2003,68
"129",1,2009,6
"130",5,1986,68
"131",8,1975,NA
"132",3,1982,NA
"133",6,1978,NA
